"filename", "language", "JSON with Comments", "TypeScript", "Properties", "CSS", "JSON", "JavaScript", "Markdown", "XML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\julia\Desktop\Development\interiorly\mystahd\data\globe.json", "JSON", 0, 0, 0, 0, 36749, 0, 0, 0, 0, 0, 0, 36749
"c:\Users\julia\Desktop\Development\interiorly\mystahd\lib\hooks\use-products.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\julia\Desktop\Development\interiorly\mystahd\lib\provider\shopping-cart-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 17, 138
"c:\Users\julia\Desktop\Development\interiorly\mystahd\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\julia\Desktop\Development\interiorly\mystahd\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 2, 20
"c:\Users\julia\Desktop\Development\interiorly\mystahd\package-lock.json", "JSON", 0, 0, 0, 0, 7019, 0, 0, 0, 0, 0, 1, 7020
"c:\Users\julia\Desktop\Development\interiorly\mystahd\package.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"c:\Users\julia\Desktop\Development\interiorly\mystahd\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\julia\Desktop\Development\interiorly\mystahd\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\julia\Desktop\Development\interiorly\mystahd\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\julia\Desktop\Development\interiorly\mystahd\server-actions\sellix.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 10, 9, 82
"c:\Users\julia\Desktop\Development\interiorly\mystahd\styles\globals.css", "CSS", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 3, 59
"c:\Users\julia\Desktop\Development\interiorly\mystahd\tailwind.config.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\Users\julia\Desktop\Development\interiorly\mystahd\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\julia\Desktop\Development\interiorly\mystahd\types\index.d.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"Total", "-", 29, 280, 1, 56, 43837, 23, 23, 2, 3558, 17, 403, 48229
